"region_code","region_name","2020","2021","2022","2023","2024"
W92000004,Wales,5.85,6.49,6.39,6.13,6.02
E12000001,North East,5.2,5.78,5.2,5.28,5.02
E12000002,North West,5.89,6.73,6.48,6.34,6.09
E12000003,Yorkshire and The Humber,5.9,6.56,6.22,6.39,5.96
E12000004,East Midlands,6.8,7.82,7.66,7.6,7.03
E12000005,West Midlands,6.88,7.75,7.42,7.35,7.0
E12000006,East,8.94,10.14,9.73,9.58,8.7
E12000007,London,12.59,13.58,13.17,12.5,11.83
E12000008,South East,9.65,10.75,10.49,10.28,9.42
E12000009,South West,8.62,9.82,9.43,9.23,8.5
