"region_code","region_name","2020_median_yearly_gross","2021_median_yearly_gross","2022_median_yearly_gross","2023_median_yearly_gross","2024_median_yearly_gross"
E12000001,North East,20930.00,22016.80,24044.80,25911.60,26764.40
E12000002,North West,22349.60,22724.00,24653.20,26910.00,29250.00
E12000003,Yorkshire and The Humber,21533.20,23145.20,24715.60,26026.00,27705.60
E12000004,East Midlands,21923.20,23337.60,24731.20,26176.80,28308.80
E12000005,West Midlands,22126.00,23665.20,24850.80,26884.00,28579.20
E12000006,East,22859.20,24195.60,25911.60,28095.60,28901.60
E12000007,London,29562.00,30492.80,31933.20,33898.80,35599.20
E12000008,South East,23566.40,24913.20,26182.00,28901.60,29894.80
E12000009,South West,21678.80,22531.60,24913.20,26286.00,28454.40
W92000004,Wales,21070.40,21912.80,24388.00,25771.20,27414.40
S92000003,Scotland,22796.80,23920.00,25656.80,28459.60,29260.40
