region_name,region_code,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
North East,E12000001,92.0,89.0,90.8,86.9,84.2,81.9
North West,E12000002,93.8,89.8,90.1,86.6,81.3,80.4
Yorkshire and The Humber,E12000003,97.9,92.1,93.3,88.8,85.3,84.4
East Midlands,E12000004,96.2,91.9,92.7,90.0,85.7,85.1
West Midlands,E12000005,100.4,99.0,97.2,95.8,92.9,94.5
East,E12000006,93.2,88.0,90.1,86.5,83.0,80.9
London,E12000007,58.8,56.2,55.2,53.9,50.9,51.3
South East,E12000008,85.1,82.1,82.7,79.6,75.0,73.0
South West,E12000009,86.5,82.2,82.8,75.8,73.1,68.6
Wales,W92000004,91.5,87.5,89.4,86.2,80.7,76.9
