"region_code","region_name","year","house_price"
E12000001,North East,"2020",180000.000000
E12000001,North East,"2021",192000.000000
E12000001,North East,"2022",197500.000000
E12000001,North East,"2023",200250.000000
E12000001,North East,"2024",205000.000000
E12000001,North East,"2025",210500.000000
E12000001,North East,"2026",217000.000000
E12000002,North West,"2020",216750.000000
E12000002,North West,"2021",237000.000000
E12000002,North West,"2022",248000.000000
E12000002,North West,"2023",248250.000000
E12000002,North West,"2024",252750.000000
E12000002,North West,"2025",263250.000000
E12000002,North West,"2026",268000.000000
E12000003,Yorkshire and The Humber,"2020",210250.000000
E12000003,Yorkshire and The Humber,"2021",228500.000000
E12000003,Yorkshire and The Humber,"2022",237000.000000
E12000003,Yorkshire and The Humber,"2023",237000.000000
E12000003,Yorkshire and The Humber,"2024",240500.000000
E12000003,Yorkshire and The Humber,"2025",248000.000000
E12000003,Yorkshire and The Humber,"2026",254000.000000
E12000004,East Midlands,"2020",235750.000000
E12000004,East Midlands,"2021",258250.000000
E12000004,East Midlands,"2022",271250.000000
E12000004,East Midlands,"2023",267500.000000
E12000004,East Midlands,"2024",270250.000000
E12000004,East Midlands,"2025",277000.000000
E12000004,East Midlands,"2026",278000.000000
E12000005,West Midlands,"2020",247000.000000
E12000005,West Midlands,"2021",266000.000000
E12000005,West Midlands,"2022",277000.000000
E12000005,West Midlands,"2023",276500.000000
E12000005,West Midlands,"2024",280000.000000
E12000005,West Midlands,"2025",289250.000000
E12000005,West Midlands,"2026",295000.000000
E12000006,East,"2020",356500.000000
E12000006,East,"2021",377750.000000
E12000006,East,"2022",398000.000000
E12000006,East,"2023",388000.000000
E12000006,East,"2024",385250.000000
E12000006,East,"2025",392000.000000
E12000006,East,"2026",387000.000000
E12000007,London,"2020",575250.000000
E12000007,London,"2021",602750.000000
E12000007,London,"2022",613500.000000
E12000007,London,"2023",590500.000000
E12000007,London,"2024",612000.000000
E12000007,London,"2025",616250.000000
E12000007,London,"2026",598000.000000
E12000008,South East,"2020",404250.000000
E12000008,South East,"2021",425500.000000
E12000008,South East,"2022",452000.000000
E12000008,South East,"2023",432000.000000
E12000008,South East,"2024",430750.000000
E12000008,South East,"2025",437750.000000
E12000008,South East,"2026",432000.000000
E12000009,South West,"2020",304000.000000
E12000009,South West,"2021",325750.000000
E12000009,South West,"2022",346750.000000
E12000009,South West,"2023",338500.000000
E12000009,South West,"2024",335500.000000
E12000009,South West,"2025",339750.000000
E12000009,South West,"2026",338000.000000
W92000004,Wales,"2020",201000.000000
W92000004,Wales,"2021",225000.000000
W92000004,Wales,"2022",241250.000000
W92000004,Wales,"2023",235750.000000
W92000004,Wales,"2024",237250.000000
W92000004,Wales,"2025",248250.000000
W92000004,Wales,"2026",253000.000000
S92000003,Scotland,"2020",202000.000000
S92000003,Scotland,"2021",218250.000000
S92000003,Scotland,"2022",230250.000000
S92000003,Scotland,"2023",229750.000000
S92000003,Scotland,"2024",232000.000000
S92000003,Scotland,"2025",239750.000000
S92000003,Scotland,"2026",240000.000000
