region_code,region_name,year,fertility_rate,median_yearly_gross,median_affordability
E12000001,North East,2020,89.0,20930.0,5.2
E12000001,North East,2021,90.8,22016.8,5.78
E12000001,North East,2022,86.9,24044.8,5.2
E12000001,North East,2023,84.2,25911.6,5.28
E12000001,North East,2024,81.9,26764.4,5.02
E12000002,North West,2020,89.8,22349.6,5.89
E12000002,North West,2021,90.1,22724.0,6.73
E12000002,North West,2022,86.6,24653.2,6.48
E12000002,North West,2023,81.3,26910.0,6.34
E12000002,North West,2024,80.4,29250.0,6.09
E12000003,Yorkshire and The Humber,2020,92.1,21533.2,5.9
E12000003,Yorkshire and The Humber,2021,93.3,23145.2,6.56
E12000003,Yorkshire and The Humber,2022,88.8,24715.6,6.22
E12000003,Yorkshire and The Humber,2023,85.3,26026.0,6.39
E12000003,Yorkshire and The Humber,2024,84.4,27705.6,5.96
E12000004,East Midlands,2020,91.9,21923.2,6.8
E12000004,East Midlands,2021,92.7,23337.6,7.82
E12000004,East Midlands,2022,90.0,24731.2,7.66
E12000004,East Midlands,2023,85.7,26176.8,7.6
E12000004,East Midlands,2024,85.1,28308.8,7.03
E12000005,West Midlands,2020,99.0,22126.0,6.88
E12000005,West Midlands,2021,97.2,23665.2,7.75
E12000005,West Midlands,2022,95.8,24850.8,7.42
E12000005,West Midlands,2023,92.9,26884.0,7.35
E12000005,West Midlands,2024,94.5,28579.2,7.0
E12000006,East,2020,88.0,22859.2,8.94
E12000006,East,2021,90.1,24195.6,10.14
E12000006,East,2022,86.5,25911.6,9.73
E12000006,East,2023,83.0,28095.6,9.58
E12000006,East,2024,80.9,28901.6,8.7
E12000007,London,2020,56.2,29562.0,12.59
E12000007,London,2021,55.2,30492.8,13.58
E12000007,London,2022,53.9,31933.2,13.17
E12000007,London,2023,50.9,33898.8,12.5
E12000007,London,2024,51.3,35599.2,11.83
E12000008,South East,2020,82.1,23566.4,9.65
E12000008,South East,2021,82.7,24913.2,10.75
E12000008,South East,2022,79.6,26182.0,10.49
E12000008,South East,2023,75.0,28901.6,10.28
E12000008,South East,2024,73.0,29894.8,9.42
E12000009,South West,2020,82.2,21678.8,8.62
E12000009,South West,2021,82.8,22531.6,9.82
E12000009,South West,2022,75.8,24913.2,9.43
E12000009,South West,2023,73.1,26286.0,9.23
E12000009,South West,2024,68.6,28454.4,8.5
W92000004,Wales,2020,87.5,21070.4,5.85
W92000004,Wales,2021,89.4,21912.8,6.49
W92000004,Wales,2022,86.2,24388.0,6.39
W92000004,Wales,2023,80.7,25771.2,6.13
W92000004,Wales,2024,76.9,27414.4,6.02
