region_code,region_name,year,fertility_rate,median_yearly_gross,mean_house_price,median_affordability
E12000001,North East,2020,89.0,20930.0,180000.0,5.2
E12000001,North East,2021,90.8,22016.8,192000.0,5.78
E12000001,North East,2022,86.9,24044.8,197500.0,5.2
E12000001,North East,2023,84.2,25911.6,200250.0,5.28
E12000001,North East,2024,81.9,26764.4,205000.0,5.02
E12000002,North West,2020,89.8,22349.6,216750.0,5.89
E12000002,North West,2021,90.1,22724.0,237000.0,6.73
E12000002,North West,2022,86.6,24653.2,248000.0,6.48
E12000002,North West,2023,81.3,26910.0,248250.0,6.34
E12000002,North West,2024,80.4,29250.0,252750.0,6.09
E12000003,Yorkshire and The Humber,2020,92.1,21533.2,210250.0,5.9
E12000003,Yorkshire and The Humber,2021,93.3,23145.2,228500.0,6.56
E12000003,Yorkshire and The Humber,2022,88.8,24715.6,237000.0,6.22
E12000003,Yorkshire and The Humber,2023,85.3,26026.0,237000.0,6.39
E12000003,Yorkshire and The Humber,2024,84.4,27705.6,240500.0,5.96
E12000004,East Midlands,2020,91.9,21923.2,235750.0,6.8
E12000004,East Midlands,2021,92.7,23337.6,258250.0,7.82
E12000004,East Midlands,2022,90.0,24731.2,271250.0,7.66
E12000004,East Midlands,2023,85.7,26176.8,267500.0,7.6
E12000004,East Midlands,2024,85.1,28308.8,270250.0,7.03
E12000005,West Midlands,2020,99.0,22126.0,247000.0,6.88
E12000005,West Midlands,2021,97.2,23665.2,266000.0,7.75
E12000005,West Midlands,2022,95.8,24850.8,277000.0,7.42
E12000005,West Midlands,2023,92.9,26884.0,276500.0,7.35
E12000005,West Midlands,2024,94.5,28579.2,280000.0,7.0
E12000006,East,2020,88.0,22859.2,356500.0,8.94
E12000006,East,2021,90.1,24195.6,377750.0,10.14
E12000006,East,2022,86.5,25911.6,398000.0,9.73
E12000006,East,2023,83.0,28095.6,388000.0,9.58
E12000006,East,2024,80.9,28901.6,385250.0,8.7
E12000007,London,2020,56.2,29562.0,575250.0,12.59
E12000007,London,2021,55.2,30492.8,602750.0,13.58
E12000007,London,2022,53.9,31933.2,613500.0,13.17
E12000007,London,2023,50.9,33898.8,590500.0,12.5
E12000007,London,2024,51.3,35599.2,612000.0,11.83
E12000008,South East,2020,82.1,23566.4,404250.0,9.65
E12000008,South East,2021,82.7,24913.2,425500.0,10.75
E12000008,South East,2022,79.6,26182.0,452000.0,10.49
E12000008,South East,2023,75.0,28901.6,432000.0,10.28
E12000008,South East,2024,73.0,29894.8,430750.0,9.42
E12000009,South West,2020,82.2,21678.8,304000.0,8.62
E12000009,South West,2021,82.8,22531.6,325750.0,9.82
E12000009,South West,2022,75.8,24913.2,346750.0,9.43
E12000009,South West,2023,73.1,26286.0,338500.0,9.23
E12000009,South West,2024,68.6,28454.4,335500.0,8.5
W92000004,Wales,2020,87.5,21070.4,201000.0,5.85
W92000004,Wales,2021,89.4,21912.8,225000.0,6.49
W92000004,Wales,2022,86.2,24388.0,241250.0,6.39
W92000004,Wales,2023,80.7,25771.2,235750.0,6.13
W92000004,Wales,2024,76.9,27414.4,237250.0,6.02
