Code,Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,5-Year Average
K04000001,England and Wales,5.05,5.84,6.52,6.73,6.95,7.16,6.89,6.35,6.84,6.74,6.76,6.73,6.95,7.37,7.59,7.77,7.85,7.73,7.82,8.94,8.45,8.27,7.74,7.56,8.19
E92000001,England,5.11,5.93,6.60,6.78,6.95,7.14,6.96,6.40,6.85,6.79,6.77,6.76,7.09,7.54,7.72,7.91,8.04,7.88,7.87,9.06,8.56,8.45,7.84,7.64,8.31
W92000004,Wales,3.67,4.31,5.39,5.91,6.15,6.44,6.18,5.62,5.75,5.55,5.56,5.47,5.55,5.65,5.75,5.69,5.77,5.74,5.85,6.49,6.39,6.13,6.02,5.86,6.18
E12000001,North East,3.29,3.92,4.76,5.22,5.73,5.80,5.58,5.16,5.39,5.13,5.01,4.99,5.04,5.17,5.20,5.18,5.28,5.21,5.20,5.78,5.20,5.28,5.02,4.94,5.24
E12000002,North West,3.50,3.99,4.83,5.31,5.67,5.85,5.55,5.21,5.43,5.28,5.23,5.14,5.41,5.54,5.64,5.81,5.81,5.79,5.89,6.73,6.48,6.34,6.09,5.90,6.31
E12000003,Yorkshire and The Humber,3.54,4.21,5.13,5.50,5.72,6.02,5.72,5.27,5.64,5.39,5.35,5.29,5.54,5.69,5.78,5.90,5.95,5.91,5.90,6.56,6.22,6.39,5.96,5.97,6.22
E12000004,East Midlands,4.10,4.94,5.88,5.95,6.08,6.34,5.99,5.38,5.73,5.63,5.50,5.52,5.84,6.13,6.22,6.66,6.74,6.74,6.80,7.82,7.66,7.60,7.03,6.91,7.40
E12000005,West Midlands,4.43,5.20,6.01,6.17,6.33,6.47,6.09,5.85,6.17,5.92,5.89,5.84,6.19,6.29,6.40,6.63,6.81,6.90,6.88,7.75,7.42,7.35,7.00,6.80,7.26
E12000006,East of England,5.45,6.18,6.75,6.93,7.07,7.32,7.15,6.41,6.94,6.83,6.79,6.94,7.30,7.86,8.33,9.10,9.19,9.01,8.94,10.14,9.73,9.58,8.70,8.52,9.33
E12000007,London,6.90,7.44,8.02,8.13,8.37,8.38,8.52,7.83,8.75,9.20,9.15,9.62,10.77,11.78,12.91,13.25,13.09,12.75,12.59,13.58,13.17,12.50,11.83,11.35,12.49
E12000008,South East,6.12,6.93,7.33,7.53,7.68,8.06,7.89,6.98,7.74,7.68,7.64,7.89,8.20,8.81,9.43,9.79,9.92,9.67,9.65,10.75,10.49,10.28,9.42,9.20,10.03
E12000009,South West,5.96,6.96,7.62,7.84,7.86,8.19,7.93,7.14,7.64,7.46,7.47,7.41,7.65,8.00,8.40,8.72,8.78,8.61,8.62,9.82,9.43,9.23,8.50,8.26,9.05
,,,,,,,,,,,,,,,,,,,,,,,,,,
