Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers
1992 Q1,United Kingdom,K02000001,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1992 Q2,United Kingdom,K02000001,77000.00,52000.00,24000.00,60000.00,43000.00,21000.00,62000.00,44000.00,21000.00,47000.00,39000.00,18000.00,77000.00,49000.00,24000.00
1992 Q3,United Kingdom,K02000001,70000.00,50000.00,24000.00,63000.00,45000.00,21000.00,64000.00,45000.00,22000.00,49000.00,40000.00,19000.00,79000.00,50000.00,25000.00
1992 Q4,United Kingdom,K02000001,70000.00,50000.00,23000.00,57000.00,41000.00,20000.00,59000.00,42000.00,21000.00,45000.00,37000.00,18000.00,77000.00,49000.00,25000.00
1993 Q1,United Kingdom,K02000001,73000.00,52000.00,24000.00,58000.00,42000.00,21000.00,60000.00,43000.00,21000.00,46000.00,38000.00,18000.00,78000.00,50000.00,25000.00
1993 Q2,United Kingdom,K02000001,73000.00,51000.00,23000.00,60000.00,44000.00,21000.00,62000.00,45000.00,21000.00,49000.00,40000.00,18000.00,78000.00,51000.00,25000.00
1993 Q3,United Kingdom,K02000001,73000.00,51000.00,24000.00,62000.00,45000.00,21000.00,64000.00,46000.00,22000.00,48000.00,40000.00,18000.00,82000.00,52000.00,26000.00
1993 Q4,United Kingdom,K02000001,73000.00,52000.00,24000.00,60000.00,44000.00,21000.00,63000.00,45000.00,22000.00,47000.00,39000.00,18000.00,80000.00,52000.00,25000.00
1994 Q1,United Kingdom,K02000001,73000.00,52000.00,24000.00,60000.00,44000.00,21000.00,62000.00,45000.00,22000.00,46000.00,38000.00,18000.00,82000.00,53000.00,26000.00
1994 Q2,United Kingdom,K02000001,74000.00,53000.00,24000.00,63000.00,46000.00,22000.00,65000.00,47000.00,22000.00,49000.00,41000.00,19000.00,84000.00,55000.00,27000.00
1994 Q3,United Kingdom,K02000001,74000.00,52000.00,24000.00,64000.00,47000.00,22000.00,66000.00,48000.00,23000.00,49000.00,40000.00,19000.00,87000.00,56000.00,27000.00
1994 Q4,United Kingdom,K02000001,77000.00,56000.00,25000.00,63000.00,46000.00,22000.00,66000.00,48000.00,22000.00,49000.00,41000.00,19000.00,85000.00,55000.00,27000.00
1995 Q1,United Kingdom,K02000001,75000.00,55000.00,26000.00,60000.00,45000.00,21000.00,62000.00,46000.00,22000.00,47000.00,41000.00,19000.00,83000.00,54000.00,27000.00
1995 Q2,United Kingdom,K02000001,78000.00,58000.00,26000.00,62000.00,47000.00,22000.00,65000.00,49000.00,23000.00,47000.00,42000.00,19000.00,87000.00,56000.00,28000.00
1995 Q3,United Kingdom,K02000001,81000.00,58000.00,28000.00,65000.00,48000.00,23000.00,68000.00,50000.00,24000.00,46000.00,41000.00,19000.00,91000.00,58000.00,29000.00
1995 Q4,United Kingdom,K02000001,82000.00,59000.00,28000.00,64000.00,47000.00,23000.00,67000.00,49000.00,23000.00,46000.00,42000.00,19000.00,88000.00,56000.00,28000.00
1996 Q1,United Kingdom,K02000001,81000.00,58000.00,28000.00,63000.00,48000.00,23000.00,66000.00,49000.00,23000.00,46000.00,41000.00,19000.00,89000.00,58000.00,28000.00
1996 Q2,United Kingdom,K02000001,83000.00,61000.00,28000.00,66000.00,49000.00,24000.00,69000.00,51000.00,24000.00,49000.00,44000.00,20000.00,87000.00,56000.00,29000.00
1996 Q3,United Kingdom,K02000001,85000.00,62000.00,29000.00,71000.00,52000.00,25000.00,73000.00,53000.00,25000.00,50000.00,45000.00,20000.00,93000.00,59000.00,30000.00
1996 Q4,United Kingdom,K02000001,89000.00,63000.00,30000.00,68000.00,50000.00,24000.00,70000.00,51000.00,25000.00,48000.00,44000.00,20000.00,91000.00,58000.00,29000.00
1997 Q1,United Kingdom,K02000001,97000.00,65000.00,32000.00,70000.00,52000.00,25000.00,73000.00,53000.00,25000.00,49000.00,44000.00,20000.00,93000.00,60000.00,30000.00
1997 Q2,United Kingdom,K02000001,92000.00,66000.00,31000.00,73000.00,54000.00,26000.00,76000.00,55000.00,26000.00,50000.00,46000.00,20000.00,96000.00,62000.00,31000.00
1997 Q3,United Kingdom,K02000001,93000.00,66000.00,31000.00,76000.00,55000.00,26000.00,78000.00,56000.00,27000.00,55000.00,48000.00,22000.00,98000.00,64000.00,31000.00
1997 Q4,United Kingdom,K02000001,93000.00,66000.00,30000.00,74000.00,54000.00,25000.00,76000.00,55000.00,26000.00,55000.00,47000.00,21000.00,96000.00,62000.00,30000.00
1998 Q1,United Kingdom,K02000001,94000.00,68000.00,31000.00,75000.00,54000.00,26000.00,78000.00,56000.00,26000.00,54000.00,48000.00,21000.00,99000.00,63000.00,31000.00
1998 Q2,United Kingdom,K02000001,97000.00,69000.00,31000.00,79000.00,57000.00,27000.00,81000.00,58000.00,27000.00,60000.00,51000.00,23000.00,102000.00,65000.00,32000.00
1998 Q3,United Kingdom,K02000001,94000.00,67000.00,31000.00,84000.00,59000.00,28000.00,85000.00,59000.00,28000.00,66000.00,53000.00,24000.00,103000.00,65000.00,32000.00
1998 Q4,United Kingdom,K02000001,102000.00,74000.00,34000.00,80000.00,57000.00,27000.00,83000.00,59000.00,28000.00,64000.00,51000.00,23000.00,101000.00,66000.00,32000.00
1999 Q1,United Kingdom,K02000001,106000.00,72000.00,33000.00,81000.00,58000.00,27000.00,84000.00,60000.00,28000.00,65000.00,53000.00,24000.00,103000.00,67000.00,33000.00
1999 Q2,United Kingdom,K02000001,112000.00,78000.00,35000.00,87000.00,62000.00,29000.00,90000.00,64000.00,29000.00,72000.00,58000.00,26000.00,106000.00,69000.00,33000.00
1999 Q3,United Kingdom,K02000001,113000.00,79000.00,36000.00,95000.00,66000.00,31000.00,97000.00,68000.00,31000.00,74000.00,59000.00,26000.00,116000.00,75000.00,35000.00
1999 Q4,United Kingdom,K02000001,116000.00,80000.00,36000.00,94000.00,66000.00,29000.00,97000.00,67000.00,30000.00,74000.00,59000.00,25000.00,116000.00,74000.00,34000.00
2000 Q1,United Kingdom,K02000001,121000.00,82000.00,36000.00,94000.00,66000.00,30000.00,97000.00,68000.00,30000.00,75000.00,59000.00,26000.00,118000.00,76000.00,34000.00
2000 Q2,United Kingdom,K02000001,121000.00,82000.00,37000.00,99000.00,70000.00,30000.00,102000.00,71000.00,31000.00,77000.00,62000.00,26000.00,121000.00,79000.00,35000.00
2000 Q3,United Kingdom,K02000001,122000.00,82000.00,36000.00,100000.00,69000.00,31000.00,102000.00,70000.00,31000.00,75000.00,60000.00,26000.00,123000.00,78000.00,35000.00
2000 Q4,United Kingdom,K02000001,126000.00,85000.00,37000.00,101000.00,70000.00,31000.00,104000.00,72000.00,32000.00,76000.00,61000.00,26000.00,125000.00,80000.00,36000.00
2001 Q1,United Kingdom,K02000001,131000.00,91000.00,39000.00,104000.00,72000.00,31000.00,107000.00,74000.00,32000.00,79000.00,63000.00,27000.00,128000.00,82000.00,36000.00
2001 Q2,United Kingdom,K02000001,128000.00,90000.00,38000.00,110000.00,75000.00,33000.00,112000.00,78000.00,34000.00,83000.00,66000.00,28000.00,133000.00,86000.00,37000.00
2001 Q3,United Kingdom,K02000001,137000.00,91000.00,39000.00,115000.00,76000.00,34000.00,117000.00,78000.00,34000.00,88000.00,68000.00,29000.00,138000.00,87000.00,38000.00
2001 Q4,United Kingdom,K02000001,134000.00,92000.00,41000.00,110000.00,73000.00,33000.00,113000.00,75000.00,34000.00,88000.00,70000.00,29000.00,128000.00,82000.00,37000.00
2002 Q1,United Kingdom,K02000001,145000.00,100000.00,43000.00,111000.00,76000.00,33000.00,113000.00,78000.00,34000.00,91000.00,73000.00,29000.00,124000.00,82000.00,36000.00
2002 Q2,United Kingdom,K02000001,153000.00,100000.00,42000.00,123000.00,81000.00,35000.00,126000.00,83000.00,36000.00,100000.00,78000.00,31000.00,136000.00,88000.00,38000.00
2002 Q3,United Kingdom,K02000001,163000.00,105000.00,44000.00,132000.00,85000.00,36000.00,136000.00,88000.00,37000.00,111000.00,84000.00,33000.00,147000.00,92000.00,39000.00
2002 Q4,United Kingdom,K02000001,164000.00,107000.00,46000.00,131000.00,85000.00,37000.00,134000.00,88000.00,38000.00,111000.00,85000.00,34000.00,144000.00,91000.00,39000.00
2003 Q1,United Kingdom,K02000001,161000.00,106000.00,44000.00,132000.00,87000.00,38000.00,134000.00,88000.00,38000.00,105000.00,81000.00,32000.00,142000.00,90000.00,39000.00
2003 Q2,United Kingdom,K02000001,179000.00,119000.00,48000.00,139000.00,90000.00,37000.00,142000.00,92000.00,38000.00,109000.00,84000.00,32000.00,153000.00,95000.00,40000.00
2003 Q3,United Kingdom,K02000001,196000.00,125000.00,49000.00,160000.00,99000.00,39000.00,162000.00,101000.00,40000.00,114000.00,87000.00,29000.00,172000.00,103000.00,40000.00
2003 Q4,United Kingdom,K02000001,198000.00,130000.00,50000.00,164000.00,104000.00,39000.00,166000.00,106000.00,40000.00,119000.00,91000.00,31000.00,176000.00,108000.00,40000.00
