Description,Code,Number_of_jobs_(thousand),Median,Annual_percentage_change,Mean,Annual_percentage_change,Percentiles_10,Percentiles_20,Percentiles_25,Percentiles_30,Percentiles_40,Percentiles_60,Percentiles_70,Percentiles_75,Percentiles_80,Percentiles_90,,,,,,,,
United Kingdom,K02000001,"27,111",505.1,,596.4,,171.7,281.3,333.3,369.7,435.2,586.7,690.5,755.9,824.1,"1,054.1",,,,,,,,
North East,E12000001,927,459.0,,521.5,,165.6,264.9,310.5,346.4,400.3,525.4,613.1,667.0,730.8,907.3,,Key,Statistical robustness,,,,,
"North East, Age 18-21",,42,227.1,,236.0,,77.9,99.3,116.3,134.3,173.1,265.4,318.7,343.8,362.5,x,, CV <= 5% , Estimates are considered precise  ,,,,,
"North East, Age 22-29",,140,423.4,,445.5,,185.6,292.2,330.5,350.5,384.6,477.1,527.2,551.8,597.0,709.1,, CV > 5% and <= 10% , Estimates are considered reasonably precise ,,,,,
"North East, Age 30-39",,220,496.8,,540.5,,188.8,296.4,351.2,382.1,437.6,567.4,658.6,708.4,749.9,892.1,, CV > 10% and <= 20% , Estimates are considered acceptable ,,,,,
"North East, Age 40-49",,215,536.6,,619.2,,224.3,339.0,378.7,405.1,473.6,644.0,741.0,799.2,865.8,"1,052.0",, x = CV > 20% , Estimates are considered unreliable for practical purposes ,,,,,
"North East, Age 50-59",,206,469.5,,554.7,,189.6,284.3,324.2,354.0,406.7,536.0,627.8,676.9,742.4,958.2,, .. = disclosive ,,,,,,
"North East, Age 60+",,97,380.2,,455.7,,121.2,201.6,234.3,265.2,327.3,432.6,502.8,551.1,618.7,x,, : = not applicable ,,,,,,
North West,E12000002,"2,806",479.1,,549.2,,167.7,271.2,319.9,356.4,413.3,551.6,647.4,709.1,777.8,973.0,, - = nil or negligible  ,,,,,,
"North West, Age 18-21",,124,211.6,,249.4,,60.7,98.0,117.0,134.1,173.7,271.6,325.8,351.9,382.9,446.8,,,,,,,,
"North West, Age 22-29",,477,437.0,,464.8,,188.7,298.5,335.3,359.2,396.1,484.4,536.6,571.2,609.6,755.9,,,,,,,,
"North West, Age 30-39",,676,531.7,,580.1,,213.1,331.3,367.8,396.7,462.9,612.6,709.1,760.9,811.8,970.1,,,,,,,,
"North West, Age 40-49",,627,549.0,,633.1,,207.4,322.5,368.0,402.0,473.0,638.5,753.7,810.1,881.8,"1,104.5",,,,,,,,
"North West, Age 50-59",,629,509.2,,612.4,,192.1,299.9,348.2,383.8,442.4,593.7,715.1,783.0,862.4,"1,093.0",,,,,,,,
